Unnamed: 0,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Boq,9122169,234551094,940707982,False,81,True,0.0,0.0,1780670135
1,Boq,663053,234551094,940707982,False,81,True,0.0,0.0,1780670135
2,Boq,782642,234551094,940707982,False,81,True,0.0,0.0,1780670135
3,Boq,1909902,234551094,940707982,False,81,True,0.0,0.0,1780670135
4,Boq,7375806,234551094,940707982,False,81,True,0.0,0.0,1780670135
5,Boq,3673895,234551094,940707982,False,81,True,0.0,0.0,1780670135
6,Boq,6499296,234551094,940707982,False,81,True,0.0,0.0,1780670135
7,Boq,7147897,234551094,940707982,False,81,True,0.0,0.0,1780670135
8,Boq,4846209,234551094,940707982,False,81,True,0.0,0.0,1780670135
9,Boq,8977831,234551094,940707982,False,81,True,0.0,0.0,1780670135
10,Oxu,9122169,234551094,327175713,True,216,False,0.9326923076923076,0.8695652173913043,1780670243
11,Oxu,663053,234551094,327175713,True,297,False,0.9326923076923076,0.8695652173913043,1780670243
12,Oxu,782642,234551094,327175713,True,381,False,0.9326923076923076,0.8695652173913043,1780670243
13,Oxu,1909902,234551094,327175713,True,491,False,0.9519230769230768,0.9130434782608696,1780670243
14,Oxu,7375806,234551094,327175713,True,787,False,0.9807692307692308,0.8695652173913043,1780670243
15,Oxu,3673895,234551094,327175713,False,1000,True,0.8942307692307693,0.9130434782608696,1780670243
16,Oxu,6499296,234551094,327175713,True,282,False,0.9326923076923076,0.8695652173913043,1780670243
17,Oxu,7147897,234551094,327175713,True,278,False,0.9423076923076924,0.9130434782608696,1780670243
18,Oxu,4846209,234551094,327175713,True,262,False,0.9423076923076924,0.8695652173913043,1780670243
19,Oxu,8977831,234551094,327175713,True,439,False,0.9326923076923076,0.8695652173913043,1780670243
20,Kum,9122169,234551094,743457359,True,216,False,0.9326923076923076,0.8695652173913043,1780670354
21,Kum,663053,234551094,743457359,True,297,False,0.9326923076923076,0.8695652173913043,1780670354
22,Kum,782642,234551094,743457359,True,381,False,0.9326923076923076,0.8695652173913043,1780670354
23,Kum,1909902,234551094,743457359,True,491,False,0.9519230769230768,0.9130434782608696,1780670354
24,Kum,7375806,234551094,743457359,True,787,False,0.9807692307692308,0.8695652173913043,1780670354
25,Kum,3673895,234551094,743457359,False,915,True,0.8942307692307693,0.9130434782608696,1780670354
26,Kum,6499296,234551094,743457359,True,282,False,0.9326923076923076,0.8695652173913043,1780670354
27,Kum,7147897,234551094,743457359,True,278,False,0.9423076923076924,0.9130434782608696,1780670354
28,Kum,4846209,234551094,743457359,True,262,False,0.9423076923076924,0.8695652173913043,1780670354
29,Kum,8977831,234551094,743457359,True,439,False,0.9326923076923076,0.8695652173913043,1780670354
30,Uci,9122169,234551094,124701882,False,5,True,0.0,0.0,1780670356
31,Uci,663053,234551094,124701882,False,5,True,0.0,0.0,1780670356
32,Uci,782642,234551094,124701882,False,5,True,0.0,0.0,1780670356
33,Uci,1909902,234551094,124701882,False,5,True,0.0,0.0,1780670356
34,Uci,7375806,234551094,124701882,False,5,True,0.0,0.0,1780670356
35,Uci,3673895,234551094,124701882,False,5,True,0.0,0.0,1780670356
36,Uci,6499296,234551094,124701882,False,5,True,0.0,0.0,1780670356
37,Uci,7147897,234551094,124701882,False,5,True,0.0,0.0,1780670356
38,Uci,4846209,234551094,124701882,False,5,True,0.0,0.0,1780670356
39,Uci,8977831,234551094,124701882,False,5,True,0.0,0.0,1780670356
40,Pouzu,9122169,234551094,609241774,False,287,True,0.4807692307692308,0.8888888888888888,1780670561
41,Pouzu,663053,234551094,609241774,False,372,True,0.3461538461538461,0.8888888888888888,1780670561
42,Pouzu,782642,234551094,609241774,False,363,True,0.3461538461538461,0.8888888888888888,1780670561
43,Pouzu,1909902,234551094,609241774,False,367,True,0.4038461538461538,0.8888888888888888,1780670561
44,Pouzu,7375806,234551094,609241774,False,486,True,0.3076923076923077,0.6666666666666666,1780670561
45,Pouzu,3673895,234551094,609241774,False,454,True,0.4038461538461538,0.8888888888888888,1780670561
