,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
0,0.0,0.0,0.0,1780670103,997809845,,Ege,859354964,Best of Previous Generation,,
1,1.0,1.0,1.0,1780670103,997809845,,Sayav,956210324,Best of Previous Generation,,
2,2.0,2.0,2.0,1780670103,997809845,,Kefoy,378531608,Best of Previous Generation,,
3,3.0,3.0,3.0,1780670103,997809845,,Kiov,177891679,Best of Previous Generation,,
4,4.0,4.0,4.0,1780670103,997809845,,Brioguh,240235939,Best of Previous Generation,,
5,5.0,5.0,5.0,1780670103,997809845,,Tron,541100424,Best of Previous Generation,,
6,6.0,6.0,6.0,1780670103,997809845,,Drayab,912517160,Best of Previous Generation,,
7,7.0,7.0,7.0,1780670103,997809845,,Beani,548982522,Best of Previous Generation,,
8,8.0,8.0,8.0,1780670103,997809845,,Hutiv,866637809,Best of Previous Generation,,
9,9.0,9.0,9.0,1780670103,997809845,,Oye,19957353,Best of Previous Generation,,
10,10.0,10.0,10.0,1780670103,997809845,,Fokic,271654206,Best of Previous Generation,,
11,11.0,11.0,11.0,1780670103,997809845,,Maehad,235892082,Best of Previous Generation,,
12,12.0,12.0,12.0,1780670103,997809845,,Beani,548982522,Best of Previous Generation,,
13,13.0,13.0,13.0,1780670103,997809845,,Oxu,327175713,Best of Previous Generation,,
14,14.0,14.0,14.0,1780670103,997809845,,Beani,548982522,Best of Previous Generation,,
15,15.0,15.0,15.0,1780670103,997809845,,Ajaj,787766096,Best of Previous Generation,,
16,16.0,16.0,16.0,1780670103,997809845,,Hutiv,866637809,Best of Previous Generation,,
17,17.0,17.0,17.0,1780670103,997809845,,Quj,513009952,Best of Previous Generation,,
18,18.0,18.0,18.0,1780670103,997809845,,Isi,767262232,Best of Previous Generation,,
19,19.0,19.0,19.0,1780670103,997809845,,Kum,743457359,Best of Previous Generation,,
20,20.0,20.0,20.0,1780670103,997809845,,Eyuim,321908731,Best of Previous Generation,,
21,21.0,21.0,21.0,1780670103,997809845,,Uxa,115508248,Best of Previous Generation,,
22,22.0,22.0,22.0,1780670103,997809845,,Gow,995640518,Best of Previous Generation,,
23,23.0,23.0,23.0,1780670103,997809845,,Draegem,984684152,Best of Previous Generation,,
24,24.0,24.0,24.0,1780670103,997809845,,Jeaqek,686524547,Best of Previous Generation,,
25,25.0,25.0,,1780670104,582586619,2344258.0,Xahi,193499300,Mutation,984684152.0,
26,26.0,26.0,,1780670104,582586619,7090569.0,Gror,379233218,Mutation,327175713.0,
27,27.0,27.0,,1780670104,582586619,1780172.0,Tutoz,703330275,Mutation,866637809.0,
28,28.0,28.0,,1780670104,582586619,1331977.0,Wour,931021965,Mutation,388123925.0,
29,29.0,29.0,,1780670104,582586619,9978099.0,Haec,70724175,Mutation,995640518.0,
30,30.0,30.0,,1780670104,582586619,3264070.0,Rebi,972209328,Mutation,357534665.0,
31,31.0,31.0,,1780670104,582586619,1092829.0,Ivi,682966621,Mutation,956210324.0,
32,32.0,32.0,,1780670104,582586619,8148792.0,Realik,401593137,Mutation,357534665.0,
33,33.0,33.0,,1780670104,582586619,2384038.0,Oxi,697092465,Mutation,866637809.0,
34,34.0,34.0,,1780670104,582586619,7547500.0,Uve,455307419,Mutation,448567465.0,
35,35.0,35.0,,1780670104,582586619,6504733.0,Yuic,588253898,Mutation,115508248.0,
36,36.0,36.0,,1780670104,582586619,6473964.0,Greaneq,365667159,Mutation,866637809.0,
37,37.0,37.0,,1780670104,582586619,5581419.0,Deaxud,340253778,Mutation,511119631.0,
38,38.0,38.0,,1780670104,582586619,7234333.0,Xof,224090100,Mutation,787766096.0,
39,39.0,39.0,,1780670104,582586619,2122079.0,Qay,303449490,Mutation,548982522.0,
40,40.0,40.0,,1780670104,582586619,918041.0,Unaq,353115076,Mutation,786237920.0,
41,41.0,41.0,,1780670104,582586619,7172026.0,Xaejuz,625519322,Mutation,548982522.0,
42,42.0,42.0,,1780670104,582586619,5928574.0,Ibah,193948832,Mutation,604537301.0,
43,43.0,43.0,,1780670104,582586619,3610311.0,Waixig,986679430,Mutation,19957353.0,
44,44.0,44.0,,1780670104,582586619,9644092.0,Jaewec,468848998,Mutation,743457359.0,
