,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
0,0.0,0.0,0.0,1780717161,842397252,,Iru,374030339,Best of Previous Generation,,
1,1.0,1.0,1.0,1780717161,842397252,,Emaiy,41616074,Best of Previous Generation,,
2,2.0,2.0,2.0,1780717161,842397252,,Eno,689698968,Best of Previous Generation,,
3,3.0,3.0,3.0,1780717161,842397252,,Kioy,991446294,Best of Previous Generation,,
4,4.0,4.0,4.0,1780717161,842397252,,Zuiduv,57601726,Best of Previous Generation,,
5,5.0,5.0,5.0,1780717161,842397252,,Hex,862827073,Best of Previous Generation,,
6,6.0,6.0,6.0,1780717161,842397252,,Groulo,941889993,Best of Previous Generation,,
7,7.0,7.0,7.0,1780717161,842397252,,Eno,689698968,Best of Previous Generation,,
8,8.0,8.0,8.0,1780717161,842397252,,Omeg,740285956,Best of Previous Generation,,
9,9.0,9.0,9.0,1780717161,842397252,,Ilo,34505648,Best of Previous Generation,,
10,10.0,10.0,10.0,1780717161,842397252,,Olouv,442272192,Best of Previous Generation,,
11,11.0,11.0,11.0,1780717161,842397252,,Ilo,34505648,Best of Previous Generation,,
12,12.0,12.0,12.0,1780717161,842397252,,Odar,142148691,Best of Previous Generation,,
13,13.0,13.0,13.0,1780717161,842397252,,Ilo,34505648,Best of Previous Generation,,
14,14.0,14.0,14.0,1780717161,842397252,,Ovo,969985964,Best of Previous Generation,,
15,15.0,15.0,15.0,1780717161,842397252,,Fioy,276735024,Best of Previous Generation,,
16,16.0,16.0,16.0,1780717161,842397252,,Cuku,506391096,Best of Previous Generation,,
17,17.0,17.0,17.0,1780717161,842397252,,Ilo,34505648,Best of Previous Generation,,
18,18.0,18.0,18.0,1780717161,842397252,,Xijel,136775528,Best of Previous Generation,,
19,19.0,19.0,19.0,1780717161,842397252,,Miye,492096217,Best of Previous Generation,,
20,20.0,20.0,20.0,1780717161,842397252,,Xijel,136775528,Best of Previous Generation,,
21,21.0,21.0,21.0,1780717161,842397252,,Ucoul,438036430,Best of Previous Generation,,
22,22.0,22.0,22.0,1780717161,842397252,,Ucoul,438036430,Best of Previous Generation,,
23,23.0,23.0,23.0,1780717161,842397252,,Daez,916826604,Best of Previous Generation,,
24,24.0,24.0,24.0,1780717161,842397252,,Omeg,740285956,Best of Previous Generation,,
25,25.0,25.0,25.0,1780717161,842397252,,Ixik,393640163,Best of Previous Generation,,
