,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Carud,9993680,43469773,493155274,False,337,True,0.2980769230769231,0.9130434782608695,1780656145
1,Carud,5562143,43469773,493155274,False,315,True,0.40384615384615385,0.8695652173913043,1780656145
2,Carud,2588383,43469773,493155274,False,320,True,0.5865384615384616,0.9130434782608695,1780656145
3,Carud,9749781,43469773,493155274,False,384,True,0.6923076923076923,0.9130434782608695,1780656145
4,Carud,6900367,43469773,493155274,False,289,True,0.3942307692307692,0.9130434782608695,1780656145
5,Carud,9285822,43469773,493155274,False,247,True,0.11538461538461539,0.6521739130434783,1780656145
6,Carud,6874854,43469773,493155274,False,204,True,0.22115384615384615,0.8695652173913043,1780656145
7,Carud,2866269,43469773,493155274,False,218,True,0.07692307692307693,0.5652173913043478,1780656145
8,Carud,4061125,43469773,493155274,True,189,False,0.9326923076923077,0.9130434782608695,1780656145
9,Carud,5440446,43469773,493155274,False,199,True,0.11538461538461539,0.6956521739130435,1780656145
10,Fioweb,9993680,43469773,650242006,False,77,True,0.0,0.0,1780656147
11,Fioweb,5562143,43469773,650242006,False,77,True,0.0,0.0,1780656147
12,Fioweb,2588383,43469773,650242006,False,77,True,0.0,0.0,1780656147
13,Fioweb,9749781,43469773,650242006,False,77,True,0.0,0.0,1780656147
14,Fioweb,6900367,43469773,650242006,False,77,True,0.0,0.0,1780656147
15,Fioweb,9285822,43469773,650242006,False,77,True,0.0,0.0,1780656147
16,Fioweb,6874854,43469773,650242006,False,77,True,0.0,0.0,1780656147
17,Fioweb,2866269,43469773,650242006,False,77,True,0.0,0.0,1780656147
18,Fioweb,4061125,43469773,650242006,False,77,True,0.0,0.0,1780656147
19,Fioweb,5440446,43469773,650242006,False,77,True,0.0,0.0,1780656147
20,Dreanu,9993680,43469773,434741145,False,295,True,0.3173076923076923,0.9130434782608695,1780656351
21,Dreanu,5562143,43469773,434741145,False,282,True,0.34615384615384615,0.8695652173913043,1780656351
22,Dreanu,2588383,43469773,434741145,False,287,True,0.41346153846153844,0.8695652173913043,1780656351
23,Dreanu,9749781,43469773,434741145,False,280,True,0.5288461538461539,0.9130434782608695,1780656351
24,Dreanu,6900367,43469773,434741145,False,282,True,0.3173076923076923,0.9130434782608695,1780656351
25,Dreanu,9285822,43469773,434741145,False,244,True,0.08653846153846154,0.7391304347826086,1780656351
26,Dreanu,6874854,43469773,434741145,False,286,True,0.3076923076923077,0.8695652173913043,1780656351
27,Dreanu,2866269,43469773,434741145,False,184,True,0.08653846153846154,0.6086956521739131,1780656351
28,Dreanu,4061125,43469773,434741145,False,408,True,0.7307692307692307,0.9130434782608695,1780656351
29,Dreanu,5440446,43469773,434741145,False,196,True,0.11538461538461539,0.6956521739130435,1780656351
30,Vuk,9993680,43469773,685569125,False,296,True,0.3173076923076923,0.9130434782608695,1780656554
31,Vuk,5562143,43469773,685569125,False,283,True,0.34615384615384615,0.8695652173913043,1780656554
32,Vuk,2588383,43469773,685569125,False,284,True,0.41346153846153844,0.8695652173913043,1780656554
33,Vuk,9749781,43469773,685569125,False,265,True,0.5288461538461539,0.9130434782608695,1780656554
34,Vuk,6900367,43469773,685569125,False,277,True,0.3173076923076923,0.9130434782608695,1780656554
35,Vuk,9285822,43469773,685569125,False,240,True,0.08653846153846154,0.7391304347826086,1780656554
36,Vuk,6874854,43469773,685569125,False,282,True,0.2980769230769231,0.8695652173913043,1780656554
37,Vuk,2866269,43469773,685569125,False,179,True,0.07692307692307693,0.6086956521739131,1780656554
38,Vuk,4061125,43469773,685569125,False,400,True,0.7307692307692307,0.9130434782608695,1780656554
39,Vuk,5440446,43469773,685569125,False,192,True,0.11538461538461539,0.6956521739130435,1780656554
40,Ela,9993680,43469773,774098291,False,402,True,0.5961538461538461,0.782608695652174,1780656753
