,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Jeaqek,4568201,957413342,686524547,True,252,False,0.9519230769230769,0.9090909090909091,1780668719
1,Jeaqek,523798,957413342,686524547,True,289,False,0.9519230769230769,0.9090909090909091,1780668719
2,Jeaqek,4386692,957413342,686524547,True,449,False,0.9615384615384616,0.9090909090909091,1780668719
3,Jeaqek,6374778,957413342,686524547,True,233,False,0.9423076923076923,0.9090909090909091,1780668719
4,Jeaqek,8367192,957413342,686524547,True,712,False,0.9615384615384616,0.9090909090909091,1780668719
5,Jeaqek,1767995,957413342,686524547,True,454,False,0.9423076923076923,0.9090909090909091,1780668719
6,Jeaqek,5697987,957413342,686524547,True,607,False,0.9423076923076923,0.9090909090909091,1780668719
7,Jeaqek,7653598,957413342,686524547,True,691,False,0.9423076923076923,0.9090909090909091,1780668719
8,Jeaqek,6935321,957413342,686524547,True,240,False,0.9423076923076923,0.9090909090909091,1780668719
9,Jeaqek,3290754,957413342,686524547,True,531,False,0.9807692307692307,0.9090909090909091,1780668719
10,Oyaek,4568201,957413342,786237920,True,633,False,0.9519230769230769,0.8695652173913043,1780668866
11,Oyaek,523798,957413342,786237920,True,254,False,0.9326923076923077,0.8695652173913043,1780668866
12,Oyaek,4386692,957413342,786237920,True,337,False,0.9423076923076923,0.8695652173913043,1780668866
13,Oyaek,6374778,957413342,786237920,True,544,False,0.9615384615384616,0.8695652173913043,1780668866
14,Oyaek,8367192,957413342,786237920,True,367,False,0.9423076923076923,0.8695652173913043,1780668866
15,Oyaek,1767995,957413342,786237920,True,484,False,0.9615384615384616,0.8695652173913043,1780668866
16,Oyaek,5697987,957413342,786237920,True,237,False,0.9423076923076923,0.8695652173913043,1780668866
17,Oyaek,7653598,957413342,786237920,True,565,False,0.9519230769230769,0.8695652173913043,1780668866
18,Oyaek,6935321,957413342,786237920,True,615,False,0.9807692307692307,0.8695652173913043,1780668866
19,Oyaek,3290754,957413342,786237920,True,692,False,0.9903846153846154,0.8695652173913043,1780668866
20,Fuz,4568201,957413342,448567465,False,1000,True,0.9326923076923077,0.8695652173913043,1780668961
