,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Qume,3013008,434794718,524071360,True,393,False,0.9326923076923077,0.8695652173913043,1780659165
1,Qume,4122905,434794718,524071360,False,1000,True,0.9326923076923077,0.9130434782608695,1780659165
2,Qume,2644601,434794718,524071360,True,565,False,0.9711538461538461,0.8695652173913043,1780659165
3,Qume,769900,434794718,524071360,True,460,False,0.9423076923076923,0.9130434782608695,1780659165
4,Qume,7345902,434794718,524071360,True,476,False,0.9326923076923077,0.9130434782608695,1780659165
5,Qume,2086793,434794718,524071360,True,741,False,0.9711538461538461,0.9130434782608695,1780659165
6,Qume,9381272,434794718,524071360,True,332,False,0.9423076923076923,0.8695652173913043,1780659165
7,Qume,5129618,434794718,524071360,True,248,False,0.9326923076923077,0.8695652173913043,1780659165
8,Qume,3490657,434794718,524071360,True,187,False,0.9326923076923077,0.8695652173913043,1780659165
9,Qume,1532641,434794718,524071360,True,489,False,0.9423076923076923,0.8695652173913043,1780659165
10,Ela,3013008,434794718,774098291,False,565,True,0.5480769230769231,0.8695652173913043,1780659367
11,Ela,4122905,434794718,774098291,False,567,True,0.8461538461538461,0.8695652173913043,1780659367
12,Ela,2644601,434794718,774098291,False,414,True,0.2692307692307692,0.782608695652174,1780659367
13,Ela,769900,434794718,774098291,False,524,True,0.5192307692307693,0.8695652173913043,1780659367
14,Ela,7345902,434794718,774098291,False,320,True,0.19230769230769232,0.6956521739130435,1780659367
15,Ela,2086793,434794718,774098291,False,641,True,0.7307692307692307,0.8695652173913043,1780659367
16,Ela,9381272,434794718,774098291,False,409,True,0.36538461538461536,0.8695652173913043,1780659367
17,Ela,5129618,434794718,774098291,False,419,True,0.25961538461538464,0.782608695652174,1780659367
18,Ela,3490657,434794718,774098291,False,536,True,0.6057692307692307,0.8260869565217391,1780659367
19,Ela,1532641,434794718,774098291,False,497,True,0.6346153846153846,0.8695652173913043,1780659367
20,Osi,3013008,434794718,274944713,False,349,True,0.22115384615384615,0.7391304347826086,1780659569
21,Osi,4122905,434794718,274944713,False,312,True,0.23076923076923078,0.8695652173913043,1780659569
22,Osi,2644601,434794718,274944713,False,297,True,0.125,0.6956521739130435,1780659569
23,Osi,769900,434794718,274944713,False,307,True,0.17307692307692307,0.782608695652174,1780659569
24,Osi,7345902,434794718,274944713,False,301,True,0.07692307692307693,0.5217391304347826,1780659569
25,Osi,2086793,434794718,274944713,False,382,True,0.3557692307692308,0.8695652173913043,1780659569
26,Osi,9381272,434794718,274944713,False,334,True,0.33653846153846156,0.9130434782608695,1780659569
27,Osi,5129618,434794718,274944713,False,282,True,0.14423076923076922,0.8260869565217391,1780659569
28,Osi,3490657,434794718,274944713,False,446,True,0.3557692307692308,0.9130434782608695,1780659569
29,Osi,1532641,434794718,274944713,False,394,True,0.4326923076923077,0.9130434782608695,1780659569
30,Ibah,3013008,434794718,193948832,True,393,False,0.9326923076923077,0.8695652173913043,1780659673
31,Ibah,4122905,434794718,193948832,False,1000,True,0.9326923076923077,0.9130434782608695,1780659673
32,Ibah,2644601,434794718,193948832,True,565,False,0.9711538461538461,0.8695652173913043,1780659673
33,Ibah,769900,434794718,193948832,True,460,False,0.9423076923076923,0.9130434782608695,1780659673
34,Ibah,7345902,434794718,193948832,True,476,False,0.9326923076923077,0.9130434782608695,1780659673
35,Ibah,2086793,434794718,193948832,True,741,False,0.9711538461538461,0.9130434782608695,1780659673
36,Ibah,9381272,434794718,193948832,True,332,False,0.9423076923076923,0.8695652173913043,1780659673
37,Ibah,5129618,434794718,193948832,True,248,False,0.9326923076923077,0.8695652173913043,1780659673
38,Ibah,3490657,434794718,193948832,True,187,False,0.9326923076923077,0.8695652173913043,1780659673
39,Ibah,1532641,434794718,193948832,True,489,False,0.9423076923076923,0.8695652173913043,1780659673
40,Ayic,3013008,434794718,887569536,False,298,True,0.3942307692307692,0.8695652173913043,1780659874
41,Ayic,4122905,434794718,887569536,False,402,True,0.5769230769230769,0.8695652173913043,1780659874
42,Ayic,2644601,434794718,887569536,False,341,True,0.3942307692307692,0.8260869565217391,1780659874
43,Ayic,769900,434794718,887569536,False,303,True,0.34615384615384615,0.8695652173913043,1780659874
44,Ayic,7345902,434794718,887569536,False,337,True,0.2692307692307692,0.782608695652174,1780659874
45,Ayic,2086793,434794718,887569536,False,380,True,0.6730769230769231,0.8695652173913043,1780659874
46,Ayic,9381272,434794718,887569536,False,326,True,0.28846153846153844,0.8695652173913043,1780659874
47,Ayic,5129618,434794718,887569536,False,398,True,0.17307692307692307,0.782608695652174,1780659874
48,Ayic,3490657,434794718,887569536,False,339,True,0.36538461538461536,0.782608695652174,1780659874
49,Ayic,1532641,434794718,887569536,False,324,True,0.3557692307692308,0.6956521739130435,1780659874
50,Yaqeb,3013008,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
51,Yaqeb,4122905,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
52,Yaqeb,2644601,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
53,Yaqeb,769900,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
54,Yaqeb,7345902,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
55,Yaqeb,2086793,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
56,Yaqeb,9381272,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
57,Yaqeb,5129618,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
58,Yaqeb,3490657,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
59,Yaqeb,1532641,434794718,879367368,True,2,False,0.23076923076923078,0.2,1780659875
60,Lidaq,3013008,434794718,191198743,False,1000,True,0.9326923076923077,0.9130434782608695,1780660058
61,Lidaq,4122905,434794718,191198743,False,953,True,0.9326923076923077,0.9130434782608695,1780660058
62,Lidaq,2644601,434794718,191198743,False,1000,True,0.9903846153846154,0.9130434782608695,1780660058
63,Lidaq,769900,434794718,191198743,False,1000,True,0.9807692307692307,0.9130434782608695,1780660058
64,Lidaq,7345902,434794718,191198743,False,867,True,0.9326923076923077,0.9130434782608695,1780660058
