,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,Experiment Seed,SGDL Seed,Name,SGDL Hash,Generation Method,Parent 1,Parent 2
58,58.0,,,1780657616,774020031,929695836.0,Paeno,799433253,Crossover,774098291.0,274944713.0
59,59.0,,,1780657616,774020031,378281911.0,Craijid,616749234,Crossover,616749234.0,743457359.0
60,60.0,,,1780657616,774020031,35700523.0,Qouca,509575825,Crossover,99053000.0,373728272.0
61,61.0,,,1780657616,774020031,716425378.0,Kum,743457359,Crossover,743457359.0,511119631.0
62,62.0,,,1780657616,774020031,3166316.0,Ecez,805064712,Crossover,805064712.0,774098291.0
63,63.0,,,1780657616,774020031,535214623.0,Dudo,209937814,Crossover,482187890.0,995400624.0
64,64.0,,,1780657616,774020031,119405025.0,Egag,965564037,Crossover,511119631.0,373728272.0
65,65.0,,,1780657616,774020031,588818471.0,Ela,774098291,Crossover,774098291.0,511119631.0
66,66.0,,,1780657616,774020031,542283217.0,Badad,511119631,Crossover,511119631.0,511119631.0
67,67.0,,,1780657616,774020031,15841269.0,Ela,774098291,Crossover,774098291.0,616749234.0
68,,,,1780657617,664774759,917850488.0,Zodoz,406358746,Random,,
69,,,,1780657617,664774759,144691095.0,Oxa,3711825,Random,,
70,,,,1780657617,664774759,886222762.0,Taif,561927143,Random,,
71,,,,1780657617,664774759,368474431.0,Uruiq,48478153,Random,,
72,,,,1780657617,664774759,114103822.0,Frusiy,956347458,Random,,
73,,,,1780657617,664774759,819751038.0,Ucop,443498989,Random,,
74,,,,1780657617,664774759,468606846.0,Dube,7626229,Random,,
75,,,,1780657617,664774759,919058664.0,Muiv,352565227,Random,,
76,,,,1780657617,664774759,954434865.0,Ugo,715471528,Random,,
77,,,,1780657617,664774759,215170964.0,Nep,49331905,Random,,
78,,,,1780657617,664774759,653498290.0,Braiq,913190811,Random,,
79,,,,1780657617,664774759,160339057.0,Ica,155620642,Random,,
80,,,,1780657617,664774759,525990080.0,Ceco,49845269,Random,,
81,,,,1780657617,664774759,46899317.0,Atouy,375858552,Random,,
82,,,,1780657617,664774759,803879298.0,Fifo,56977149,Random,,
83,,,,1780657617,664774759,723573476.0,Drob,333158026,Random,,
84,,,,1780657617,664774759,215220356.0,Seaco,619520896,Random,,
85,,,,1780657617,664774759,756335323.0,Brouka,676122622,Random,,
86,,,,1780657617,664774759,553820546.0,Ara,773707672,Random,,
87,,,,1780657617,664774759,505946614.0,Ehi,900888571,Random,,
88,,,,1780657617,664774759,971916003.0,Foufo,120562171,Random,,
89,,,,1780657617,664774759,692131419.0,Foz,940146010,Random,,
90,,,,1780657617,664774759,636030126.0,Quif,783757361,Random,,
91,,,,1780657617,664774759,380301168.0,Ipub,809549216,Random,,
92,,,,1780657617,664774759,926715570.0,Frap,597733049,Random,,
93,,,,1780657617,664774759,657754325.0,Olut,236323764,Random,,
94,,,,1780657617,664774759,150037912.0,Frouda,776705200,Random,,
95,,,,1780657617,664774759,470905428.0,Hougem,100096890,Random,,
96,,,,1780657617,664774759,571279112.0,Ojab,590044260,Random,,
97,,,,1780657617,664774759,530534657.0,Huhi,212147455,Random,,
98,,,,1780657617,664774759,19630313.0,Axa,869639173,Random,,
99,,,,1780657617,664774759,606873086.0,Muivov,623254952,Random,,
