,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Yij,7662821,149022611,285219694,False,26,True,0.0,0.0,1780712980
1,Yij,1859381,149022611,285219694,False,9,True,0.0,0.0,1780712980
2,Yij,2904662,149022611,285219694,False,47,True,0.0,0.0,1780712980
3,Yij,9417809,149022611,285219694,False,47,True,0.0,0.0,1780712980
4,Yij,4504127,149022611,285219694,False,37,True,0.0,0.0,1780712980
5,Yij,8511820,149022611,285219694,False,3,True,0.0,0.0,1780712980
6,Yij,1760489,149022611,285219694,False,5,True,0.0,0.0,1780712980
7,Yij,5777742,149022611,285219694,False,189,True,0.0,0.0,1780712980
8,Yij,7595963,149022611,285219694,False,543,True,0.0,0.0,1780712980
9,Yij,7180691,149022611,285219694,False,21,True,0.0,0.0,1780712980
10,Okour,7662821,149022611,107307654,False,140,True,0.23076923076923078,0.7894736842105263,1780713589
11,Okour,1859381,149022611,107307654,False,304,True,0.15384615384615385,0.6842105263157895,1780713589
12,Okour,2904662,149022611,107307654,False,270,True,0.09615384615384616,0.8421052631578947,1780713589
13,Okour,9417809,149022611,107307654,False,187,True,0.22115384615384615,0.7368421052631579,1780713589
14,Okour,4504127,149022611,107307654,False,293,True,0.11538461538461539,0.631578947368421,1780713589
15,Okour,8511820,149022611,107307654,False,147,True,0.20192307692307693,0.8421052631578947,1780713589
16,Okour,1760489,149022611,107307654,False,167,True,0.28846153846153844,0.5789473684210527,1780713589
17,Okour,5777742,149022611,107307654,False,173,True,0.15384615384615385,0.8421052631578947,1780713589
18,Okour,7595963,149022611,107307654,False,100,True,0.16346153846153846,0.6842105263157895,1780713589
19,Okour,7180691,149022611,107307654,False,119,True,0.2692307692307692,0.7368421052631579,1780713589
20,Pream,7662821,149022611,608261179,False,0,True,0.0,0.0,1780713592
21,Pream,1859381,149022611,608261179,False,42,True,0.0,0.0,1780713592
22,Pream,2904662,149022611,608261179,False,9,True,0.0,0.0,1780713592
23,Pream,9417809,149022611,608261179,False,71,True,0.0,0.0,1780713592
24,Pream,4504127,149022611,608261179,False,8,True,0.0,0.0,1780713592
25,Pream,8511820,149022611,608261179,False,8,True,0.0,0.0,1780713592
26,Pream,1760489,149022611,608261179,False,0,True,0.0,0.0,1780713592
27,Pream,5777742,149022611,608261179,False,8,True,0.0,0.0,1780713592
28,Pream,7595963,149022611,608261179,False,0,True,0.0,0.0,1780713592
29,Pream,7180691,149022611,608261179,False,0,True,0.0,0.0,1780713592
30,Ceri,7662821,149022611,635030033,False,566,True,0.0,0.0,1780713595
31,Ceri,1859381,149022611,635030033,False,566,True,0.0,0.0,1780713595
32,Ceri,2904662,149022611,635030033,False,566,True,0.0,0.0,1780713595
33,Ceri,9417809,149022611,635030033,False,566,True,0.0,0.0,1780713595
34,Ceri,4504127,149022611,635030033,False,566,True,0.0,0.0,1780713595
35,Ceri,8511820,149022611,635030033,False,566,True,0.0,0.0,1780713595
36,Ceri,1760489,149022611,635030033,False,566,True,0.0,0.0,1780713595
37,Ceri,5777742,149022611,635030033,False,566,True,0.0,0.0,1780713595
38,Ceri,7595963,149022611,635030033,False,566,True,0.0,0.0,1780713595
39,Ceri,7180691,149022611,635030033,False,566,True,0.0,0.0,1780713595
40,Obaef,7662821,149022611,389398162,False,30,True,0.0,0.0,1780713599
41,Obaef,1859381,149022611,389398162,False,30,True,0.0,0.0,1780713599
42,Obaef,2904662,149022611,389398162,False,30,True,0.0,0.0,1780713599
43,Obaef,9417809,149022611,389398162,False,30,True,0.0,0.0,1780713599
44,Obaef,4504127,149022611,389398162,False,30,True,0.0,0.0,1780713599
45,Obaef,8511820,149022611,389398162,False,30,True,0.0,0.0,1780713599
46,Obaef,1760489,149022611,389398162,False,30,True,0.0,0.0,1780713599
47,Obaef,5777742,149022611,389398162,False,30,True,0.0,0.0,1780713599
48,Obaef,7595963,149022611,389398162,False,30,True,0.0,0.0,1780713599
49,Obaef,7180691,149022611,389398162,False,30,True,0.0,0.0,1780713599
50,Naiq,7662821,149022611,285398908,False,15,True,0.0,0.0,1780713604
51,Naiq,1859381,149022611,285398908,False,2,True,0.0,0.0,1780713604
