Unnamed: 0,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
66,Fraexi,6211748,527293744,994780097,True,34,False,0.7307692307692307,1.0,1780714999
67,Fraexi,6507870,527293744,994780097,True,35,False,0.7692307692307693,1.0,1780714999
68,Fraexi,8454289,527293744,994780097,True,30,False,0.6730769230769231,1.0,1780714999
69,Fraexi,5489165,527293744,994780097,True,31,False,0.7115384615384616,1.0,1780714999
70,Otaeh,6841376,527293744,37718823,True,19,False,0.6923076923076923,1.0,1780715001
71,Otaeh,7180258,527293744,37718823,True,24,False,1.0,1.0,1780715001
72,Otaeh,1925286,527293744,37718823,True,16,False,1.0,1.0,1780715001
73,Otaeh,1838793,527293744,37718823,True,39,False,0.9230769230769232,1.0,1780715001
74,Otaeh,8791432,527293744,37718823,True,23,False,0.8461538461538461,1.0,1780715001
75,Otaeh,7295608,527293744,37718823,True,28,False,0.6153846153846154,1.0,1780715001
76,Otaeh,6211748,527293744,37718823,True,20,False,0.7692307692307693,1.0,1780715001
77,Otaeh,6507870,527293744,37718823,True,15,False,0.6923076923076923,1.0,1780715001
78,Otaeh,8454289,527293744,37718823,True,18,False,0.7692307692307693,1.0,1780715001
79,Otaeh,5489165,527293744,37718823,True,20,False,1.0,1.0,1780715001
80,Traedek,6841376,527293744,356367043,False,1000,True,0.4807692307692308,0.8333333333333334,1780715112
81,Traedek,7180258,527293744,356367043,False,1000,True,0.5384615384615384,0.8333333333333334,1780715112
82,Traedek,1925286,527293744,356367043,False,1000,True,0.3846153846153846,0.8333333333333334,1780715112
83,Traedek,1838793,527293744,356367043,False,1000,True,0.4615384615384615,0.8333333333333334,1780715112
84,Traedek,8791432,527293744,356367043,False,1000,True,0.5192307692307693,0.8333333333333334,1780715112
85,Traedek,7295608,527293744,356367043,False,1000,True,0.4230769230769231,0.8333333333333334,1780715112
86,Traedek,6211748,527293744,356367043,False,1000,True,0.4615384615384615,0.8333333333333334,1780715112
87,Traedek,6507870,527293744,356367043,False,1000,True,0.5192307692307693,0.8333333333333334,1780715112
88,Traedek,8454289,527293744,356367043,False,1000,True,0.4615384615384615,0.8333333333333334,1780715112
89,Traedek,5489165,527293744,356367043,False,1000,True,0.3846153846153846,0.8333333333333334,1780715112
0,Izu,6841376,527293744,317583042,False,962,True,0.4230769230769231,0.9,1780715332
1,Izu,7180258,527293744,317583042,False,774,True,0.4423076923076923,0.8,1780715332
2,Izu,1925286,527293744,317583042,False,894,True,0.4615384615384615,0.9,1780715332
3,Izu,1838793,527293744,317583042,False,1000,True,0.3269230769230769,0.9,1780715332
4,Izu,8791432,527293744,317583042,False,981,True,0.3269230769230769,0.9,1780715332
5,Izu,7295608,527293744,317583042,False,1000,True,0.3653846153846153,0.7,1780715332
6,Izu,6211748,527293744,317583042,False,1000,True,0.2884615384615384,0.8,1780715332
7,Izu,6507870,527293744,317583042,False,876,True,0.4615384615384615,0.9,1780715332
8,Izu,8454289,527293744,317583042,False,1000,True,0.2692307692307692,0.9,1780715332
9,Izu,5489165,527293744,317583042,False,1000,True,0.4038461538461538,0.9,1780715332
10,Ilo,6841376,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
11,Ilo,7180258,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
12,Ilo,1925286,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
13,Ilo,1838793,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
14,Ilo,8791432,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
15,Ilo,7295608,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
16,Ilo,6211748,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
17,Ilo,6507870,527293744,34505648,True,52,False,0.971153846153846,1.0,1780715336
18,Ilo,8454289,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
19,Ilo,5489165,527293744,34505648,True,52,False,0.9807692307692308,1.0,1780715336
20,Olouv,6841376,527293744,442272192,True,30,False,0.9615384615384616,1.0,1780715337
21,Olouv,7180258,527293744,442272192,True,29,False,0.9423076923076924,1.0,1780715337
22,Olouv,1925286,527293744,442272192,True,29,False,0.9423076923076924,1.0,1780715337
23,Olouv,1838793,527293744,442272192,True,27,False,0.9423076923076924,1.0,1780715337
24,Olouv,8791432,527293744,442272192,True,29,False,0.9423076923076924,1.0,1780715337
25,Olouv,7295608,527293744,442272192,True,28,False,0.9423076923076924,1.0,1780715337
26,Olouv,6211748,527293744,442272192,True,28,False,0.9423076923076924,1.0,1780715337
27,Olouv,6507870,527293744,442272192,True,29,False,0.9230769230769232,1.0,1780715337
28,Olouv,8454289,527293744,442272192,True,29,False,0.9423076923076924,1.0,1780715337
29,Olouv,5489165,527293744,442272192,True,29,False,0.9423076923076924,1.0,1780715337
30,Touw,6841376,527293744,315129701,False,1000,True,0.4423076923076923,0.6666666666666666,1780715784
31,Touw,7180258,527293744,315129701,False,701,True,0.4038461538461538,0.6666666666666666,1780715784
32,Touw,1925286,527293744,315129701,False,1000,True,0.3461538461538461,0.6666666666666666,1780715784
33,Touw,1838793,527293744,315129701,False,1000,True,0.4807692307692308,0.6666666666666666,1780715784
34,Touw,8791432,527293744,315129701,False,1000,True,0.3461538461538461,0.7777777777777778,1780715784
35,Touw,7295608,527293744,315129701,False,1000,True,0.3461538461538461,0.4444444444444444,1780715784
36,Touw,6211748,527293744,315129701,False,1000,True,0.3269230769230769,0.6666666666666666,1780715784
37,Touw,6507870,527293744,315129701,False,1000,True,0.4615384615384615,0.7777777777777778,1780715784
38,Touw,8454289,527293744,315129701,False,1000,True,0.5,0.6666666666666666,1780715784
39,Touw,5489165,527293744,315129701,False,965,True,0.6153846153846154,0.6666666666666666,1780715784
40,Une,6841376,527293744,73121282,False,155,True,0.2211538461538461,0.3157894736842105,1780716390
41,Une,7180258,527293744,73121282,False,156,True,0.2211538461538461,0.3157894736842105,1780716390
42,Une,1925286,527293744,73121282,False,155,True,0.2307692307692307,0.3157894736842105,1780716390
43,Une,1838793,527293744,73121282,False,147,True,0.2307692307692307,0.3157894736842105,1780716390
44,Une,8791432,527293744,73121282,False,149,True,0.2211538461538461,0.3157894736842105,1780716390
45,Une,7295608,527293744,73121282,False,158,True,0.2115384615384615,0.3157894736842105,1780716390
46,Une,6211748,527293744,73121282,False,156,True,0.2211538461538461,0.3157894736842105,1780716390
47,Une,6507870,527293744,73121282,False,161,True,0.2307692307692307,0.3157894736842105,1780716390
48,Une,8454289,527293744,73121282,False,164,True,0.2211538461538461,0.3157894736842105,1780716390
49,Une,5489165,527293744,73121282,False,163,True,0.2211538461538461,0.3157894736842105,1780716390
50,Beayam,6841376,527293744,453655180,False,16,True,0.0,0.0,1780716393
51,Beayam,7180258,527293744,453655180,False,16,True,0.0,0.0,1780716393
52,Beayam,1925286,527293744,453655180,False,16,True,0.0,0.0,1780716393
53,Beayam,1838793,527293744,453655180,False,16,True,0.0,0.0,1780716393
54,Beayam,8791432,527293744,453655180,False,16,True,0.0,0.0,1780716393
55,Beayam,7295608,527293744,453655180,False,16,True,0.0,0.0,1780716393
56,Beayam,6211748,527293744,453655180,False,16,True,0.0,0.0,1780716393
57,Beayam,6507870,527293744,453655180,False,16,True,0.0,0.0,1780716393
58,Beayam,8454289,527293744,453655180,False,16,True,0.0,0.0,1780716393
59,Beayam,5489165,527293744,453655180,False,16,True,0.0,0.0,1780716393
60,Vuj,6841376,527293744,773273182,False,1000,True,0.0961538461538461,1.0,1780716398
61,Vuj,7180258,527293744,773273182,False,1000,True,0.0961538461538461,1.0,1780716398
62,Vuj,1925286,527293744,773273182,False,1000,True,0.0769230769230769,1.0,1780716398
63,Vuj,1838793,527293744,773273182,False,1000,True,0.0865384615384615,1.0,1780716398
64,Vuj,8791432,527293744,773273182,False,93,True,0.0,0.0,1780716398
65,Vuj,7295608,527293744,773273182,False,187,True,0.0,0.0,1780716398
66,Vuj,6211748,527293744,773273182,False,1000,True,0.0865384615384615,1.0,1780716398
67,Vuj,6507870,527293744,773273182,False,281,True,0.0,0.0,1780716398
68,Vuj,8454289,527293744,773273182,False,1000,True,0.0961538461538461,1.0,1780716398
69,Vuj,5489165,527293744,773273182,False,1000,True,0.0961538461538461,1.0,1780716398
70,Owew,6841376,527293744,552985655,False,0,True,0.0,0.0,1780716404
71,Owew,7180258,527293744,552985655,False,0,True,0.0,0.0,1780716404
72,Owew,1925286,527293744,552985655,False,5,True,0.0,0.0,1780716404
73,Owew,1838793,527293744,552985655,False,3,True,0.0,0.0,1780716404
74,Owew,8791432,527293744,552985655,False,0,True,0.0,0.0,1780716404
75,Owew,7295608,527293744,552985655,False,0,True,0.0,0.0,1780716404
76,Owew,6211748,527293744,552985655,False,0,True,0.0,0.0,1780716404
77,Owew,6507870,527293744,552985655,False,3,True,0.0,0.0,1780716404
78,Owew,8454289,527293744,552985655,False,0,True,0.0,0.0,1780716404
79,Owew,5489165,527293744,552985655,False,0,True,0.0,0.0,1780716404
80,Ace,6841376,527293744,683172418,False,124,True,0.1538461538461538,0.8125,1780717013
81,Ace,7180258,527293744,683172418,False,101,True,0.173076923076923,0.75,1780717013
82,Ace,1925286,527293744,683172418,False,97,True,0.1346153846153846,0.6875,1780717013
83,Ace,1838793,527293744,683172418,False,137,True,0.0865384615384615,0.75,1780717013
84,Ace,8791432,527293744,683172418,False,160,True,0.1346153846153846,0.625,1780717013
85,Ace,7295608,527293744,683172418,False,149,True,0.1153846153846153,0.75,1780717013
86,Ace,6211748,527293744,683172418,False,95,True,0.173076923076923,0.6875,1780717013
87,Ace,6507870,527293744,683172418,False,119,True,0.1442307692307692,0.8125,1780717013
88,Ace,8454289,527293744,683172418,False,151,True,0.0961538461538461,0.625,1780717013
89,Ace,5489165,527293744,683172418,False,184,True,0.1153846153846153,0.625,1780717013
90,Yuihoz,6841376,527293744,956197642,False,1000,True,0.9230769230769232,1.0,1780717033
91,Yuihoz,7180258,527293744,956197642,False,1000,True,0.9230769230769232,1.0,1780717033
92,Yuihoz,1925286,527293744,956197642,False,1000,True,0.903846153846154,1.0,1780717033
93,Yuihoz,1838793,527293744,956197642,False,1000,True,0.9615384615384616,1.0,1780717033
